gate_id,mode,name,equation,computed,threshold,unit,status,reason,fix,measured_in_this_system,source_directness,can_PASS_now,required_measurement,blocked_by,notes
A11,B (Material Processing / LCVD Growth),Byproducts pump below RGA threshold before Mode D,P_species (RGA-corrected) < threshold for each byproduct species,UNKNOWN,TBD,Pa,BLOCKED,BLOCKED: RGA not installed; species-resolved pressure unknown.,Install RGA; calibrate FC correction; verify all species below threshold before Mode D.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
A12,B (Material Processing / LCVD Growth),Mode B (growth) heat removed by non-MC dump path,P_to_MC during Mode B (growth) << P_cool_MC; growth heat absorbed by 1K/4K dump,UNKNOWN,TBD,W,CONDITIONAL,CONDITIONAL: dedicated growth dump switch + dump-stage thermometry NOT_INSTALLED. Heat balance not measured. MC must not absorb LCVD heat in real time.,Install dedicated growth thermal dump switch + dump-stage thermometers. Measure heat balance.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A13,B (Material Processing / LCVD Growth),Repeated A/B/C cycling passes fatigue inspection,N=100 cycles (engineering); N=1000 cycles (extended); no cracks/delamination/conductance drift/RGA increase,UNKNOWN,N=100/N=1000,cycles,CONDITIONAL,CONDITIONAL: no cycling completed. Material fatigue across A/B/C/D mode transitions unverified.,Run N=100 (engineering) and N=1000 (extended) cycles. Inspect interfaces with AFM/SEM. QCM/RGA/conductance drift checks.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A14,B (Material Processing / LCVD Growth),He-3/He-4 film absent before Mode B Processing,P_He < threshold; QCM He shift = 0; RGA He below detection (IL-14 enforced),UNKNOWN,TBD,Pa,BLOCKED,BLOCKED: He purge protocol and verification (RGA + QCM) not in place. Hardware interlock IL-14 (LCVD_on AND helium_film_present = IMPOSSIBLE) NOT_INSTALLED.,"Install RGA + QCM. Define He purge protocol. Verify P_He, QCM He shift, and P_He log pre-Mode-A. Install IL-14 hardware interlock.",false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
B1,C (Isolation / Purge),CH4 Pumpout Sufficient,t_purge >= 2h; P_CH4 -> below threshold,2.0,2.0,h,CONDITIONAL,Ideal gas pumpout ~2s but outgassing dominates -> 2-8h realistic. 77K charcoal cryotrap accelerates by 10-100x for condensables. t_purge_min ASSUMED. NOT EXECUTED.,Execute purge cycle; verify P_CH4<5e-12Pa by RGA.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
B2,C (Isolation / Purge),77K Cryotrap [DESIGN_SPECIFIED; NOT INSTALLED],cryotrap_hw_installed=True AND pumping speed verified,0,1,bool,CONDITIONAL,"NOT YET INSTALLED [DESIGN_SPECIFIED only]. Design intent: 77K charcoal trap; P_vap(CH4,77K)~1e-8Pa << 5e-14Pa FC target. Without cryotrap: CH4 outgassing floor ~1e-12Pa >> 5e-14Pa target. B2=CONDITIONAL because hardware is not physically installed, only designed.",Install 77K charcoal cryotrap (50g OFHC Cu). Verify pumping speed.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
B3,C (Isolation / Purge),RGA All-Species Verification (FC-corrected),"CH4<5e-14,H2<2e-14 Pa at pump port (FC correction: P_surface~100xP_pump)",,5e-14,Pa,UNKNOWN,RGA measurement NOT performed. FC correction: sensing-surface P ~100x pump-port P — thresholds 100x stricter. Mode D hard-interlocked (IL-05) on this gate. Without RGA: Mode D blocked.,RGA after each purge cycle. Calibrate FC factor from conductance model.,false,UNKNOWN,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
B4,C (Isolation / Purge),H2 Residual Coverage,theta_H2=s_H2*P_H2*t/(sqrt(2pi*m*kT)*n_mono)<0.1%,0.016076265348451066,0.1,%,CONDITIONAL,theta_H2=0.0161% (post-bake P_H2=5e-12Pa ASSUMED). Bakeout NOT executed. NEG NOT installed. RGA NOT measured.,Execute 250C/48h bakeout; install SAES St707 NEG; measure P_H2.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
B5,C (Isolation / Purge),CH4 Coverage on Sensing Surface,theta_CH4 on sample during purge < 0.1% (shutter closed),1.1367636244044066,0.1,%,CONDITIONAL,theta_CH4 during 30s purge: 1.137%. Radiation shutter must protect NV surface during entire Mode B. Key: sample at 4K (switch open) AND shutter closed.,Verify shutter CLOSED during Mode B. Confirm CH4 cannot bypass shutter.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
C1,C (Thermal Recovery),Sample Recools to Sensing T,tau_recool=integral_C(T)dT/G_eff from 4K to 10mK,0.00016963053681933731,10.0,s,CONDITIONAL,tau_recool(4K->10mK)=0.000s (negligible with SC switch). G_eff=1e-5W/K ASSUMED (not measured). Verify T_sample<10.5mK by RuO2 before Mode D.,Measure G_eff. Monitor T_sample until stable.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
C2,C (Thermal Recovery),Vibration Settled,t_wait >= t_vib_settle=100s after shutter actuation,100.0,100.0,s,CONDITIONAL,Vibration settling after shutter close: >=100s (ASSUMED). S_vib not measured on this system.,Measure S_vib on fridge platform. Add damped flex drive.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
C3,C (Thermal Recovery),Temperature Drift OK,dT/dt < 1uK/s at T_sample,,1.0,uK/s,CONDITIONAL,dT/dt threshold not verified. RuO2 reading required.,Monitor T_sample >=10min; require dT/dt<1uK/s.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
C4,C (Thermal Recovery),Radiation Shutter (DESIGN_SPECIFIED; not installed),shutter_closed=True; 4K OFHC Cu shutter DESIGN_SPECIFIED only,1,1,bool,CONDITIONAL,Shutter: [DESIGN_SPECIFIED only; NOT INSTALLED]. If installed and closed: ~1452aW negligible. Status CONDITIONAL until shutter physically installed and position-sensor verified.,Install 4K OFHC Cu retractable shutter. Install position sensor.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D1,D (Sensing / Measurement),LCVD Off / Mode D Status,LCVD_on=False AND Mode B validated,BLOCKED,,,BLOCKED,MODE D BLOCKED — Mode B not passed.,Hardware IL-01.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
D2,D (Sensing / Measurement),Precursor Threshold (sv.P_CH4; FC-corrected),sv.P_CH4 < 5e-14 Pa at RGA port,1.2e-13,5e-14,Pa,BLOCKED,sv.P_CH4=1.20e-13Pa. FC-corrected threshold=5e-14Pa. Valve leakage into He3 line: 1.0e-09Pa steady-state (20000x above target; He3 positive pressure + IL-02 required).,RGA. He3 positive pressure. Double-valve isolation.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
D3,D (Sensing / Measurement),Cooling Capacity (sv.P_total; G_eff ASSUMED; sinter unbuilt),sv.P_total < P_cool_MC (inequality satisfied under assumptions; not a PASS); G_eff ASSUMED=1e-5W/K; sinter not fabricated,4.131424483043939,200000.0,nW,CONDITIONAL,"sv.P_total=4131.4pW << P_cool=200uW (physics inequality satisfied under assumptions; not a PASS). G_eff: [ASSUMED=1e-05W/K; Ag sinter: DESIGN_SPECIFIED, not fabricated]. Gas lines: anchor at 77K+4K+1K+100mK (DESIGN_SPECIFIED, not installed).",Fabricate 45cm2 Ag sinter. Measure G_eff. Thermally anchor gas lines.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D4,D (Sensing / Measurement),T_sample (sv.T_sample; G_eff ASSUMED),sv.T_sample = T_fridge + sv.P_total/G_eff,10.413142448304393,10.0,mK,CONDITIONAL,sv.T_sample=10.4131mK. sv.G_eff=1e-05W/K [ASSUMED]. All heat terms in sv.solve() self-consistent.,Measure G_eff by step-response.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D5,D (Sensing / Measurement),G_eff / Sinter (marginal at worst-case),G_nom >= G_req = sv.P_total/dT_crit; from Kapitza,1.0162204675946866e-05,8.262848966087878e-06,W/K,CONDITIONAL,"Ag_sinter: [DESIGN_SPECIFIED] Ag sinter thermal interface (45 cm²). G_nom=1.016e-05W/K (margin 1.2x). WORST (alpha*0.5,A*0.5): G=2.54e-06W/K (FAILS). sv.G_eff=1e-05W/K [ASSUMED].",Fabricate 45cm2 Ag sinter. Measure G_eff.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D6,D (Sensing / Measurement),Laser Avg Heating (sv.P_opt; eta_abs ASSUMED),sv.P_opt = eta_abs*E_pulse*f_rep; eta_abs ASSUMED=0.05,500.00000000000006,1000000.0,pW,CONDITIONAL,sv.P_opt=500.0pW. eta_abs=0.05 [ASSUMED].,Measure eta_abs.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D7,D (Sensing / Measurement),Laser Transient — T_peak vs T_baseline,T_baseline=sv.T_sample (steady); T_peak=transient spike; tau_ballistic<<t_rep,673.0831453144457,,mK,CONDITIONAL,"T_baseline (steady-state operating point) = 10.413 mK. T_peak (transient pulse spike, Debye ballistic) = 673.083 mK -- NOT the baseline; cools completely before next pulse. sv.tau_ballistic = 42 ns << t_rep = 5 ms: no accumulation. sv.F_fluence = 6.11 J/m2 << F_abl = 1e4 J/m2 (safe). Phonon transport: ballistic at 10 mK (MFP >> 0.5 mm diamond). CONDITIONAL pending eta_abs measurement and time-resolved PL.",Measure eta_abs. Time-resolved PL to verify recovery.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D8,D (Sensing / Measurement),Sequence Timing (sv.tau_pi2),tau_seq = 3us + 2*sv.tau_pi2 + sv.T2e + 0.3us << Twin=5ms,11.252832487063259,5.0,us,CONDITIONAL,"sv.Omega_R=139591rad/s, sv.tau_pi2=11.25us. tau_pi2/T2*=1.13: DEGRADED (tau_pi2 approx T2*). sv.C_eff=0.0105 (pd=0.325/pulse from sv). tseq << Twin=5ms.",Increase P_mw or use resonator.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D9,D (Sensing / Measurement),Molecular Flow (sv.Kn_He; gas Knudsen number),sv.Kn_He = sv.lambda_He / L_char(10mm) >> 10,45.96970494031038,10.0,,DERIVED_CHECK,"He-3 gas mean free path: sv.lambda_He=0.46 m. Chamber length scale: L_char=10 mm. Knudsen number (gas): sv.Kn=lambda/L=46.0 >> 10 -- molecular flow confirmed. (Separate from phonon MFP, which >> sample thickness in ballistic regime.) Dosing geometry model required for quantitative flux calculation.",Specify full dosing geometry. Kn=46 confirms molecular (not viscous) flow.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D10a,D (Sensing / Measurement),H2 Engineering Readiness (bakeout+NEG+cryotrap+RGA),bakeout_executed AND NEG_installed AND cryotrap_installed AND RGA_verified,0,1,bool,BLOCKED,"bakeout_executed=False [NOT EXECUTED]. NEG_installed=False [NOT INSTALLED]. cryotrap_installed=False [NOT INSTALLED]. RGA_verified=False [NOT PERFORMED]. ALL four prerequisites required before D10b can give a valid physical result. Until D10a=PASS, Mode D cannot evaluate H2 contamination from real measurements.",Execute bakeout+NEG+cryotrap+RGA in sequence (Mode B). None may be skipped.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
D10b,D (Sensing / Measurement),H2 Physical Result (from actual P_H2; blocked if D10a not done),theta_H2=s_H2*P_H2_actual*t/(sqrt(2pi*m*kT)*n_mono)<0.1%; D10a prerequisite,0.32152530696902126,0.1,%,BLOCKED,BLOCKED — D10a prerequisites not met. Current P_H2=1e-10Pa (pre-bakeout reality). theta_H2=0.322% -- cannot be evaluated until bakeout+NEG+RGA done. || HYPOTHETICAL FORECAST ONLY — NOT CURRENT STATE: post-bakeout P_H2=1e-12Pa -> theta=0.0032% (threshold would be satisfied in forecast only; not a PASS).,D10a must be PASS before D10b has meaning. P_H2 from RGA measurement.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
D11,D (Sensing / Measurement),He-3 Coverage (sv.n_s),sv.n_s >= 3.3e18 m-2; He frozen (E_b/kT>>1),3.3e+18,3.3e+18,m-2,CONDITIONAL,sv.n_s=3.30e+18m-2 [ASSUMED]. T/T_F=0.00626<<1. He frozen: E_b/kT_s>>1 -> tau_des->inf. s_He UNKNOWN for F-diamond.,Measure s_He by TPD/QCM.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D12_G23,D (Sensing / Measurement),NV Charge State (UNKNOWN; not derivable),C_contr > 0 at 10mK under 532nm,,0.05,,UNKNOWN,NV_charge_val: [DESIGN_SPECIFIED] NV charge-state validation (ODMR at 10 mK). NOT derivable from thermal/vacuum state vector. Must measure by ODMR post-cycle. Co-equal bottleneck with tau_c.,ODMR at 10mK post-cycle (F15).,false,UNKNOWN,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D13,D (Sensing / Measurement),Detection SNR (sv; pulse dephasing included),sv.SNR = sv.GDC/sv.delta_G >= 5,,5.0,SNR,CONDITIONAL,"sv.tau_c=4000us [UNKNOWN]. sv.GDC=1.89e+05rad/s. sv.T2e=3.460us. sv.C_eff=0.0105 (pd=0.325, tau_pi2=11.25us from sv). sv.SNR=28.9. Combined threshold (SNR>5, eps<1%): tau_c>292us. tau_c on F-diamond: UNKNOWN.",Ramsey + He-4 control. Measure tau_c.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D14,D (Sensing / Measurement),"Optical Collection (sv.tau_pi2, T2e)",dark_frac = Ndk/(Nph+Ndk) < 20%,14.19701579658923,20.0,%,CONDITIONAL,"eta_col_cal: [DESIGN_SPECIFIED] Optical collection efficiency calibration. eta_col=6.35% [ASSUMED]. N_seq=170. dark_frac=14%. SIL branch (F18): eta->30%, tau_c threshold->~12us.",Calibrate eta_col. Consider SIL.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D15,D (Sensing / Measurement),Rabi Control (sv.Omega_R),sv.Omega_R = gamma_NV * sv.B1 / 2,139591.19435935369,,rad/s,CONDITIONAL,Rabi_cal: [DESIGN_SPECIFIED] Rabi frequency calibration in cryostat. sv.Omega_R=139591rad/s. sv.B1=1.5855uT. sv.tau_pi2=11.25us / T2*=10us = 1.13 [DEGRADED]. Not measured in cryostat.,Measure Rabi in cryostat.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D16,D (Sensing / Measurement),MW Heating (sv.P_mw/sv.G_eff; both ASSUMED),dT_mw=sv.P_mw/sv.G_eff < 1%*sv.T_s (inequality satisfied under assumptions; not a PASS); P_mw and G_eff ASSUMED,100.0,104.13142448304394,uK,CONDITIONAL,dT_mw=1e-09W/1e-05W/K = 100uK. Threshold 1%*T_s=104.1uK. Ratio 0.010.,Verify NbN SC at 10mK.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D17,D (Sensing / Measurement),Vibration (sv.S_vib; Helmholtz),Gamma_vib = gNV*d2B*dr^2/2 << sv.delta_G,0.0008563809177888703,6538.60060421336,rad/s,CONDITIONAL,Helmholtz: [DESIGN_SPECIFIED] Helmholtz gradient-cancellation coil pair. S_vib_meas: [DESIGN_SPECIFIED] Vibration PSD measurement at NV position. sv.S_vib=1e-10m2/Hz [ASSUMED]. dr=50329.2pm. Helmholtz: Gamma_vib=0.001rad/s << sv.delta_G=6539rad/s. Gradient coil (1T/m): 8862rad/s >> delta_G (FAIL).,Helmholtz geometry. Measure S_vib.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
D18,D (Sensing / Measurement),Mode-Local Secondary Thermal Feedback (all within Mode D),eps=sqrt(eps_thermo^2+eps_vib^2+eps_charge^2) < 0.01,10.000126473126242,1.0,% of dG,CONDITIONAL,"From sv (shared state vector): eps_thermo=sv.dOm_thermo/sv.delta_G=3.2885/6539=0.050%. eps_vib=0.001/6539=0.000%. eps_charge=10% [UNRESOLVED; He-4 control F16 required]. Static ZFS: dOm_opt=23rad/s, dOm_mw=46rad/s calibrated by ODMR (not in noise budget). Combined threshold: tau_c>292us.",He-4 control experiment F16.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
E01,A (Baseline / Stabilization),250°C/48h UHV Bakeout,bakeout_executed=True; T_bake>=250C; t_bake>=48h; post-bake P_H2<=2e-12Pa,0,1,,BLOCKED,SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. CF chamber must be all-metal CF-flanged for 250°C bake. Current chamber: O-ring joints (limit: 120°C) — NOT BAKE-COMPATIBLE. bakeout_executed=False. Post-bake P_H2 target: <=2e-12 Pa (not measured).,Rebuild with CF flanges + Cu gaskets. Execute 250°C/48h bake. Measure P_H2 by RGA.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
E02,A (Baseline / Stabilization),SAES St707 NEG Pump,NEG_installed=True; H2 pumping speed S_H2>=5L/s verified,0,1,,CONDITIONAL,"SPECIFIED:Yes  INSTALLED:No  VERIFIED:No. Status=CONDITIONAL. Design: SAES St707, 5 L/s H2 capacity. NOT INSTALLED. NEG must be activated (400°C/1h in separate oven) before installation. Pumping speed not measured. P_H2 post-NEG not verified.",Source SAES St707. Activate (400°C/1h). Install in chamber. Verify S_H2 by pressure-rise.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
E03,A (Baseline / Stabilization),77K Charcoal Cryotrap,cryotrap_installed=True; S_cryo>=0.5m3/s for CH4 verified,0,1,,CONDITIONAL,"SPECIFIED:Yes  INSTALLED:No  VERIFIED:No. Status=CONDITIONAL. Design: 50g activated charcoal in OFHC Cu housing, 100cm² area. NOT INSTALLED. S_cryo~0.8 m³/s at 77K (100cm²) — not measured. Trapping efficiency for CH4 at 77K not verified on this geometry.",Fabricate 50g charcoal cryotrap. Install. Measure pumping speed by pressure-rise test.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
E04,A (Baseline / Stabilization),RGA Engineering Readiness (hardware installed; all-species protocol exercised; FC-corrected),"RGA: CH4<5e-14, H2<2e-14 Pa at pump port (FC-corrected)",0,1,,BLOCKED,"SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. RGA measurement not performed. FC correction factor (P_surface~100xP_pump) not calibrated. Threshold: CH4<5e-14, H2<2e-14 Pa at RGA pump port. Mode D gates D10a/D10b hard-interlocked on this gate.",Perform RGA scan after each purge cycle. Calibrate FC correction from conductance model.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
E05,A (Baseline / Stabilization),Ag Sinter Thermal Interface (45cm²),sinter_fabricated=True; G_eff measured by step-response,0,1,,CONDITIONAL,"SPECIFIED:Yes  INSTALLED:No  VERIFIED:No. Status=CONDITIONAL. Design: 45 cm² sintered Ag in direct contact with diamond surface. NOT FABRICATED. G_eff=1e-5 W/K is ASSUMED from Kapitza model (±50%). Step-response measurement (apply 1 nW, measure ΔT_ss=P/G) not performed. Worst-case Kapitza: G_eff=2.5e-6 W/K < G_req=8.6e-6 W/K (FAILS).",Fabricate 45cm² Ag sinter. Press-bond to diamond. Measure G_eff=P/ΔT_ss.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
E06,A (Baseline / Stabilization),Kevlar/G10 Intercepted Suspension,suspension_installed=True; G_cond measured; S_vib measured at NV,0,1,,CONDITIONAL,SPECIFIED:Yes  INSTALLED:No  VERIFIED:No. Status=CONDITIONAL. Design: Kevlar/G10 suspension with thermal interception at each stage. NOT INSTALLED. G_cond (wiring+suspension conduction) ASSUMED=2.46 nW. S_vib at NV location not measured. Helmholtz coil geometry not built.,Fabricate Kevlar/G10 suspension. Install Helmholtz coil. Measure S_vib at NV location.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
