from,to,kind,guards,interlock_refs,justification,label
COOLDOWN.BASE_APPROACH,MODE_A_BASELINE,ALLOWED,T_probe_K <= 0.0105 [FridgeConfig T_fridge_K (5% band)],,baseline requires the sample thermalized at base,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_A_BASELINE,MODE_A_BASELINE.STABILIZE,ALLOWED,none,,settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_A_BASELINE.STABILIZE,MODE_A_BASELINE.READY_IDLE,ALLOWED,dwell_s >= 3.183098861837907 [vibration max_settling_time_s (canonical)],,ready requires the settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_A_BASELINE.READY_IDLE,MODE_B_PROCESS,ALLOWED,T_probe_K <= 0.0105 [baseline hold]; he3_present is_false True [gate A4],"IL-09,IL-10,IL-14",processing requires baseline readiness + MC protection available,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS,MODE_B_PROCESS.B_PRECONFIG,ALLOWED,none,,configure before sources,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS.B_PRECONFIG,MODE_B_PROCESS.B_GROWTH_ACTIVE,ALLOWED,sc_switch_open is_true True [gate A1 / IL-03],"IL-03,IL-01,IL-13,FSM-IL-15","growth requires the Mode-B hardware configuration (switch OPEN, A1)",MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS.B_GROWTH_ACTIVE,MODE_B_PROCESS.B_SOURCE_OFF,ALLOWED,none,,growth window complete; sources stopped before hand-off,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS.B_SOURCE_OFF,MODE_C_RECOVERY,ALLOWED,laser_off is_true True [hand-off semantics]; c13_feed_off is_true True [hand-off semantics],,recovery requires all growth inputs off,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C_RECOVERY,MODE_C_RECOVERY.C_PURGE,ALLOWED,none,,purge first,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C_RECOVERY.C_PURGE,MODE_C_RECOVERY.C_THERMAL_RECOVERY,ALLOWED,theta_c13_residual <= 1e-06 [canonical purge forecast floor (worst case 2.1e-9)],,thermal recovery follows the purge floor,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C_RECOVERY.C_THERMAL_RECOVERY,MODE_C_RECOVERY.C_READINESS_VERIFY,ALLOWED,T_probe_K <= 0.05 [SolverConfig.mode_d_temp_threshold_K],,readiness snapshot requires the hand-off threshold,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C_RECOVERY.C_READINESS_VERIFY,MODE_D_SENSE,ALLOWED,mode_b_complete is_true True [IL-11]; rga_ch4_clear is_true True [IL-05]; rga_h2_clear is_true True [IL-06],"IL-11,IL-05,IL-06",sensing requires a completed B->C cycle (IL-11) + clearances,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE,MODE_D_SENSE.D_PRECONFIG,ALLOWED,none,,isolation configuration,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_PRECONFIG,MODE_D_SENSE.D_HE_DOSE,ALLOWED,sc_switch_open is_true True [IL-04]; sense_shutter_closed is_true True [gate A3 / FSM-IL-16],"IL-04,FSM-IL-16","dosing requires isolation (switch OPEN, IL-04) and shutter CLOSED",MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE.D_SENSING_HOLD,ALLOWED,T_probe_K <= 0.012 [IL-07 (12 mK sensing bound)]; vib_amplitude_m <= 1e-10 [IL-08 / mode_d_amp_threshold_m],"IL-07,IL-08",the sensing hold requires the Ramsey bounds,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE.D_POST,ALLOWED,none,,dose closed without sensing (blocked or campaign end),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_SENSING_HOLD,MODE_D_SENSE.D_POST,ALLOWED,none,,hold window complete,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_POST,MODE_C_RECOVERY,ALLOWED,none,,re-recovery after sensing (He removal / rethermalization),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_POST,MODE_A_BASELINE,ALLOWED,he_dose_off is_true True [species policy],,return to baseline after the campaign,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_A_BASELINE,SHUTDOWN,ALLOWED,none,,operator end-of-campaign,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SHUTDOWN,SHUTDOWN.CONTROLLED_WARMUP,ALLOWED,all_gas_lines_closed is_true True [FSM-IL-18],FSM-IL-18,staged warmup,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SHUTDOWN.CONTROLLED_WARMUP,SHUTDOWN.VENT_PREP,ALLOWED,none,,vent prep at ambient,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SHUTDOWN.VENT_PREP,OFFLINE,ALLOWED,none,,campaign closed,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SAFE_RECOVERY,MODE_A_BASELINE.STABILIZE,ALLOWED,T_probe_K <= 0.0105 [base rethermalized]; trip_cleared is_true True [trip condition],,hand back to baseline after rethermalization and trip clearance,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
FAULT_LATCHED,OFFLINE.MAINTENANCE,ALLOWED,operator_ack is_true True [latched-fault policy],,operator acknowledgment routes to maintenance,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS,MODE_D_SENSE,FORBIDDEN,n/a,IL-01/IL-13,growth and sensing are mutually exclusive; Mode C is mandatory,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE,MODE_B_PROCESS,FORBIDDEN,n/a,IL-01/IL-13,sensing to growth must pass isolation/purge (Mode C),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS.B_GROWTH_ACTIVE,MODE_D_SENSE.D_SENSING_HOLD,FORBIDDEN,n/a,IL-01,direct growth->sensing is the canonical impossible pair,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_A_BASELINE,MODE_D_SENSE,FORBIDDEN,n/a,IL-11,Mode D requires a completed Mode B->C cycle (purge required),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
COOLDOWN,MODE_B_PROCESS,FORBIDDEN,n/a,FSM-IL-17,processing requires the established 10 mK baseline,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM,COOLDOWN.BASE_APPROACH,FORBIDDEN,n/a,stage chain,cooldown must pass the staged intercept chain,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SHUTDOWN,MODE_B_PROCESS,FORBIDDEN,n/a,FSM-IL-18,no processing during warmup,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SHUTDOWN,MODE_D_SENSE,FORBIDDEN,n/a,FSM-IL-18,no sensing during warmup,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
