from,to,result,guards,interlock_refs,justification,label,step,cycle
MODE_B_PROCESS.B_SOURCE_OFF,MODE_C_RECOVERY,TRANSITIONED,laser_off is_true True [hand-off semantics]; c13_feed_off is_true True [hand-off semantics],,recovery requires all growth inputs off,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,33,2
MODE_C_RECOVERY,MODE_C_RECOVERY.C_PURGE,TRANSITIONED,none,,purge first,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,34,2
MODE_C_RECOVERY.C_PURGE,MODE_C_RECOVERY.C_THERMAL_RECOVERY,TRANSITIONED,theta_c13_residual <= 1e-06 [canonical purge forecast floor (worst case 2.1e-9)],,thermal recovery follows the purge floor,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,35,2
MODE_C_RECOVERY.C_THERMAL_RECOVERY,MODE_C_RECOVERY.C_READINESS_VERIFY,TRANSITIONED,T_probe_K <= 0.05 [SolverConfig.mode_d_temp_threshold_K],,readiness snapshot requires the hand-off threshold,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,36,2
MODE_C_RECOVERY.C_READINESS_VERIFY,MODE_D_SENSE,TRANSITIONED,mode_b_complete is_true True [IL-11]; rga_ch4_clear is_true True [IL-05]; rga_h2_clear is_true True [IL-06],"IL-11,IL-05,IL-06",sensing requires a completed B->C cycle (IL-11) + clearances,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,37,2
MODE_D_SENSE,MODE_D_SENSE.D_PRECONFIG,TRANSITIONED,none,,isolation configuration,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,38,2
MODE_D_SENSE.D_PRECONFIG,MODE_D_SENSE.D_HE_DOSE,TRANSITIONED,sc_switch_open is_true True [IL-04]; sense_shutter_closed is_true True [gate A3 / FSM-IL-16],"IL-04,FSM-IL-16","dosing requires isolation (switch OPEN, IL-04) and shutter CLOSED",MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,39,2
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE.D_SENSING_HOLD,REFUSED,guard not satisfied: vib_amplitude_m <= 1e-10 [IL-08 / mode_d_amp_threshold_m],IL-08,guard/interlock enforcement (honest refusal; identical every cycle),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,40,2
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE.D_POST,TRANSITIONED,none,,dose closed without sensing (blocked or campaign end),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,41,2
MODE_D_SENSE.D_POST,MODE_A_BASELINE,TRANSITIONED,he_dose_off is_true True [species policy],,return to baseline after the campaign,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,42,2
MODE_A_BASELINE,MODE_A_BASELINE.STABILIZE,TRANSITIONED,none,,settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,43,2
MODE_A_BASELINE.STABILIZE,MODE_A_BASELINE.READY_IDLE,TRANSITIONED,dwell_s >= 3.183098861837907 [vibration max_settling_time_s (canonical)],,ready requires the settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,44,2
MODE_A_BASELINE.READY_IDLE,MODE_B_PROCESS,TRANSITIONED,T_probe_K <= 0.0105 [baseline hold]; he3_present is_false True [gate A4],"IL-09,IL-10,IL-14",processing requires baseline readiness + MC protection available,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,45,3
MODE_B_PROCESS,MODE_B_PROCESS.B_PRECONFIG,TRANSITIONED,none,,configure before sources,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,46,3
MODE_B_PROCESS.B_PRECONFIG,MODE_B_PROCESS.B_GROWTH_ACTIVE,TRANSITIONED,sc_switch_open is_true True [gate A1 / IL-03],"IL-03,IL-01,IL-13,FSM-IL-15","growth requires the Mode-B hardware configuration (switch OPEN, A1)",MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,47,3
MODE_B_PROCESS.B_GROWTH_ACTIVE,MODE_B_PROCESS.B_SOURCE_OFF,TRANSITIONED,none,,growth window complete; sources stopped before hand-off,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,48,3
MODE_B_PROCESS.B_SOURCE_OFF,MODE_C_RECOVERY,TRANSITIONED,laser_off is_true True [hand-off semantics]; c13_feed_off is_true True [hand-off semantics],,recovery requires all growth inputs off,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,49,3
MODE_C_RECOVERY,MODE_C_RECOVERY.C_PURGE,TRANSITIONED,none,,purge first,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,50,3
MODE_C_RECOVERY.C_PURGE,MODE_C_RECOVERY.C_THERMAL_RECOVERY,TRANSITIONED,theta_c13_residual <= 1e-06 [canonical purge forecast floor (worst case 2.1e-9)],,thermal recovery follows the purge floor,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,51,3
MODE_C_RECOVERY.C_THERMAL_RECOVERY,MODE_C_RECOVERY.C_READINESS_VERIFY,TRANSITIONED,T_probe_K <= 0.05 [SolverConfig.mode_d_temp_threshold_K],,readiness snapshot requires the hand-off threshold,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,52,3
MODE_C_RECOVERY.C_READINESS_VERIFY,MODE_D_SENSE,TRANSITIONED,mode_b_complete is_true True [IL-11]; rga_ch4_clear is_true True [IL-05]; rga_h2_clear is_true True [IL-06],"IL-11,IL-05,IL-06",sensing requires a completed B->C cycle (IL-11) + clearances,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,53,3
MODE_D_SENSE,MODE_D_SENSE.D_PRECONFIG,TRANSITIONED,none,,isolation configuration,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,54,3
MODE_D_SENSE.D_PRECONFIG,MODE_D_SENSE.D_HE_DOSE,TRANSITIONED,sc_switch_open is_true True [IL-04]; sense_shutter_closed is_true True [gate A3 / FSM-IL-16],"IL-04,FSM-IL-16","dosing requires isolation (switch OPEN, IL-04) and shutter CLOSED",MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,55,3
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE.D_SENSING_HOLD,REFUSED,guard not satisfied: vib_amplitude_m <= 1e-10 [IL-08 / mode_d_amp_threshold_m],IL-08,guard/interlock enforcement (honest refusal; identical every cycle),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,56,3
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE.D_POST,TRANSITIONED,none,,dose closed without sensing (blocked or campaign end),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,57,3
MODE_D_SENSE.D_POST,MODE_A_BASELINE,TRANSITIONED,he_dose_off is_true True [species policy],,return to baseline after the campaign,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,58,3
MODE_A_BASELINE,MODE_A_BASELINE.STABILIZE,TRANSITIONED,none,,settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,59,3
MODE_A_BASELINE.STABILIZE,MODE_A_BASELINE.READY_IDLE,TRANSITIONED,dwell_s >= 3.183098861837907 [vibration max_settling_time_s (canonical)],,ready requires the settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,60,3
