path,disposition,phase,rationale,evidence
MANUSCRIPT_CONSISTENCY_REPORT.md,RETIRE_TO_HISTORY,5,Manuscript consistency.,directive s4
NUMERICAL_METHODS.md,KEEP_AS_MODEL_PLUGIN,4,Numerical-methods record of the reference model plugins.,
PHYSICS_INVENTORY.md,REWRITE_GENERIC,2-7 (see rationale),Becomes the model-registry narrative (directive s23).,
QTA_full_history-6.bundle.txt,RETIRE_TO_HISTORY,5,A git bundle (binary) at the root; history belongs in attic/ (a copy already lives there).,'# v2 git bundle' header; rag_index names it
QTA_stage9_release_verification/RELEASE_POLICY.md,RETIRE_TO_HISTORY,5,"Stage-9 release verification record, historical: it is NOT regenerated per commit. Its SBOM names the Stage-9 uv.lock digest and lacks the three packages Stage 10 added (contourpy, cycler, dill); release.yml builds a fresh bundle from uv.lock at release time, and the Phase-7 set supersedes this one. Regenerating it in place would bind it to a release zip and revision that do not exist.",sbom qta:uv_lock_sha256 != sha256(uv.lock) since 365b5c8
QTA_stage9_release_verification/SHA256SUMS,RETIRE_TO_HISTORY,5,"Stage-9 release verification record, historical: it is NOT regenerated per commit. Its SBOM names the Stage-9 uv.lock digest and lacks the three packages Stage 10 added (contourpy, cycler, dill); release.yml builds a fresh bundle from uv.lock at release time, and the Phase-7 set supersedes this one. Regenerating it in place would bind it to a release zip and revision that do not exist.",sbom qta:uv_lock_sha256 != sha256(uv.lock) since 365b5c8
QTA_stage9_release_verification/VERIFY_INSTRUCTIONS.md,RETIRE_TO_HISTORY,5,"Stage-9 release verification record, historical: it is NOT regenerated per commit. Its SBOM names the Stage-9 uv.lock digest and lacks the three packages Stage 10 added (contourpy, cycler, dill); release.yml builds a fresh bundle from uv.lock at release time, and the Phase-7 set supersedes this one. Regenerating it in place would bind it to a release zip and revision that do not exist.",sbom qta:uv_lock_sha256 != sha256(uv.lock) since 365b5c8
QTA_stage9_release_verification/provenance.intoto.json,RETIRE_TO_HISTORY,5,"Stage-9 release verification record, historical: it is NOT regenerated per commit. Its SBOM names the Stage-9 uv.lock digest and lacks the three packages Stage 10 added (contourpy, cycler, dill); release.yml builds a fresh bundle from uv.lock at release time, and the Phase-7 set supersedes this one. Regenerating it in place would bind it to a release zip and revision that do not exist.",sbom qta:uv_lock_sha256 != sha256(uv.lock) since 365b5c8
QTA_stage9_release_verification/release_index.json,RETIRE_TO_HISTORY,5,"Stage-9 release verification record, historical: it is NOT regenerated per commit. Its SBOM names the Stage-9 uv.lock digest and lacks the three packages Stage 10 added (contourpy, cycler, dill); release.yml builds a fresh bundle from uv.lock at release time, and the Phase-7 set supersedes this one. Regenerating it in place would bind it to a release zip and revision that do not exist.",sbom qta:uv_lock_sha256 != sha256(uv.lock) since 365b5c8
QTA_stage9_release_verification/release_trust_policy.json,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Live trust policy: release.yml passes it as --trusted-policy and release_trust.py reads it; its identity fields stay PENDING until a real hosted signing run exists. Replaced with the release model (Phase 7).,release.yml; test_repository_signing_status_remains_pending
QTA_stage9_release_verification/sbom.cdx.json,RETIRE_TO_HISTORY,5,"Stage-9 release verification record, historical: it is NOT regenerated per commit. Its SBOM names the Stage-9 uv.lock digest and lacks the three packages Stage 10 added (contourpy, cycler, dill); release.yml builds a fresh bundle from uv.lock at release time, and the Phase-7 set supersedes this one. Regenerating it in place would bind it to a release zip and revision that do not exist.",sbom qta:uv_lock_sha256 != sha256(uv.lock) since 365b5c8
README.md,REWRITE_GENERIC,2-7 (see rationale),Framework README (Phase 7).,
RELEASE_POLICY.md,REWRITE_GENERIC,2-7 (see rationale),Release policy without QTA payload.,
RELEASE_TRUST_ENFORCEMENT.md,KEEP_AS_IS,-,Release trust table.,
RO_CRATE_PROFILE.md,REWRITE_GENERIC,2-7 (see rationale),RO-Crate profile without QTA registries.,
RUNTIME_RESILIENCE.md,REWRITE_GENERIC,2-7 (see rationale),Resilience narrative around qta_full_sim stages.,
SIGNING_BOOTSTRAP.md,KEEP_AS_IS,-,Signing bootstrap.,
SOURCE_AUDIT_STATUS.md,RETIRE_TO_HISTORY,5,Manuscript source audit.,
STACK.md,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Declared scientific stack (directive s2).,
SUPPLY_CHAIN_THREAT_MODEL.md,KEEP_AS_IS,-,Supply-chain threat model.,
Snakefile,REWRITE_GENERIC,2-7 (see rationale),Workflow rewritten around validate -> run -> invariants -> independent verifier -> evidence (Phase 6).,directive s25 Phase 6
TESTING.md,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Test discipline record.,
THERMAL_3D_L3.md,KEEP_AS_MODEL_PLUGIN,4,Thermal-3D model documentation.,
VALIDATION_PLAN.md,RETIRE_TO_HISTORY,5,Hardware validation roadmap.,directive s4
adaptive_experiment_policy.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
analysis/collect_container_3d.py,REWRITE_GENERIC,2-7 (see rationale),Container regeneration diagnostic over the QTA 3D output set.,docstring
assumed_parameters.json,KEEP_AS_MODEL_PLUGIN,4,Reference parameter set (16-field provenance schema) for the QTA reference model plugins.,manifest: 'manual'
assumptions_3d.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
attic/README.md,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_3d_layer.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_3d_layer_source.tar(1).gz,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_cleanup_remove_slop_log.patch,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_coupled_3d.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_coupled_3d_source.tar.gz,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_deep_complete.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_full_history-6.bundle.txt,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_full_history.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_github_sync.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_hardened.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_hardened_source.tar.gz,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_machine_fsm (1).bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_machine_fsm.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_machine_fsm_source.tar.gz,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_qta_multiphysics_repair.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_qta_multiphysics_repair.patch,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_repair_plus_cleanup.bundle,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
attic/delivery_artifacts/QTA_repaired_complete_1D_2D_repo.zip,RETIRE_TO_HISTORY,5,Already historical: delivery bundles and patches.,attic/README.md
authorities.json,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Enforcement-point registry (machine half).,
bayesian_design_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
best_forecast_operating_point.json,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
bibliography_audit.csv,RETIRE_TO_HISTORY,5,Manuscript bibliography audit.,
build_hdf5.py,REWRITE_GENERIC,2-7 (see rationale),Deterministic HDF5 builder kept; the 88-output payload and PASS-count attribute retire (directive s18/Phase 7).,names results_gate_table.csv; scientific_gate_PASS_count
build_hdf5_mapping.py,REWRITE_GENERIC,2-7 (see rationale),Output classification + unit mapping kept; the '88 governed outputs' contract retires.,docstring
build_release_artifacts.py,REWRITE_GENERIC,2-7 (see rationale),Release/SBOM/provenance generator kept; 'qta_claims' PASS-count block retires.,scientific_gate_PASS_count
build_stage6_playbooks.py,RETIRE_TO_HISTORY,5,Renders apparatus experiment playbooks.,directive s4
build_stage6_registries.py,RETIRE_TO_HISTORY,5,Builds QTA validation registries.,directive s4
campaign_registry.json,RETIRE_TO_HISTORY,5,Apparatus campaign registry.,
campaign_state_3d.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
campaign_uncertainty_3d.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
campaign_uncertainty_quantiles.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
conftest.py,KEEP_AS_IS,-,Puts repo root on sys.path for every test module.,D-2026-63
container_verification.md,KEEP_AS_IS,-,Container verification record.,
container_verify.sh,KEEP_AS_IS,-,Container verification script.,
convergence_report_3d.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
coupled_mode_recovery_metrics.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
coupled_mode_state_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
coupling_ledger_3d.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
cryo_stack_3d_budget.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
cryopanel_loading_3d.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
cryopanel_memory_model.csv,RETIRE_TO_HISTORY,5,Apparatus cryopanel memory table.,
deep_adaptive_policy.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_dataset_hash.txt,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_dataset_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_design_schema.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_eig_validation.csv,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_expdesign_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_model_manifest.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_ood_report.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_parameter_schema.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_posterior_calibration.csv,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_posterior_samples.csv,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_posterior_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_ranking_comparison.csv,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_surrogate_readiness.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
deep_training_config.json,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
deep_training_history.csv,DELETE_GENERATED_AND_REBUILD,6-7,Outputs of the deep experimental-design layer; rebuilt after its generalization (Phase 3).,written by deep_expdesign/io.py
design_component_registry.json,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
design_decision_ledger.json,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
design_interface_graph.json,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
design_validation_report.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
distributed_thermal_2d_slices.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
distributed_thermal_metrics.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
distributed_thermal_profile.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
docs/CORPUS_RECOVERY_TRIAGE.md,KEEP_AS_IS,-,Corpus recovery record.,
docs/DEFECT_LEDGER.md,KEEP_AND_HARDEN,1 (this tranche) / ongoing,"Defect history preserved, not sanitized (directive s21).",
docs/R59_CROSS_ENVIRONMENT_ANALYSIS.md,KEEP_AS_IS,-,Cross-environment lessons (directive s19).,
docs/SESSION_REPORT.md,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Session evidence record.,
docs/blas_kernel_sensitivity.json,REGENERATE,every change; new set in 7,Tool-generated inventories/baselines (identity/unit/resolution/performance/clip/blas).,written by tools/*.py
docs/clip_provenance.json,REGENERATE,every change; new set in 7,Tool-generated inventories/baselines (identity/unit/resolution/performance/clip/blas).,written by tools/*.py
docs/completion_matrix.json,REWRITE_GENERIC,2-7 (see rationale),Completion model tied to QTA rows; retire the 83-gate completion model (directive s4).,
docs/corpus_allowlist.json,REGENERATE,every change; new set in 7,Regenerated by tools/corpus_allowlist.py --write.,
docs/identity_inventory.json,REGENERATE,every change; new set in 7,Tool-generated inventories/baselines (identity/unit/resolution/performance/clip/blas).,written by tools/*.py
docs/performance_baseline.json,REGENERATE,every change; new set in 7,Tool-generated inventories/baselines (identity/unit/resolution/performance/clip/blas).,written by tools/*.py
docs/resolution_inventory.json,REGENERATE,every change; new set in 7,Tool-generated inventories/baselines (identity/unit/resolution/performance/clip/blas).,written by tools/*.py
docs/unit_inventory.json,REGENERATE,every change; new set in 7,Tool-generated inventories/baselines (identity/unit/resolution/performance/clip/blas).,written by tools/*.py
energy_ledger_cumulative_3d.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
engineering_fixes.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
expected_information_gain.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
experiment_falsification_map.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
experiment_gate_coverage.json,RETIRE_TO_HISTORY,5,Experiment-to-gate coverage.,
experiment_matrix_coverage.json,RETIRE_TO_HISTORY,5,Experiment-to-matrix coverage.,
experiment_registry.json,RETIRE_TO_HISTORY,5,Apparatus experiment registry.,
experimental_design_candidates.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
failed_gate_samples.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
falsification_report_3d.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
fidelity_comparison.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
final_manifest.json,REGENERATE,every change; new set in 7,Regenerated by generate_manifest.py (last in the chain).,
finalize_release_signing.py,KEEP_AS_IS,-,Narrow post-sign finalizer.,no hardware marker
gas_transport_2d_map.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
gas_transport_metrics.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
gas_transport_profile.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
generate_manifest.py,REWRITE_GENERIC,2-7 (see rationale),"SHA-256 manifest kept; DERIVED_STATE_FIELDS (total_gates, PASS, ...) retire.",DERIVED_STATE_FIELDS
hardware_registry.json,RETIRE_TO_HISTORY,5,Physical component authority.,
hardware_reviewers.json,RETIRE_TO_HISTORY,5,Physical reviewer registry.,
hdf5_output_mapping.json,REGENERATE,every change; new set in 7,Regenerated by build_hdf5_mapping.py.,
hdf5_schema.json,REGENERATE,every change; new set in 7,Regenerated by build_hdf5_mapping.py.,
