name,parent,purpose,entry_conditions,exit_conditions,sensors_monitored,validation_conditions,interlocks,thermal_configuration,gas_configuration,optical_configuration,microwave_configuration,cryogenic_configuration,outputs_produced,physics_modules,recovery_behavior,fault_behavior,hardware_enabled,hardware_disabled,label
COOLDOWN.BASE_APPROACH,COOLDOWN,approach the 10 mK base with the sample thermalized (switch CLOSED),100 mK reached,T_probe at base (T_fridge_K),"NV-probe temperature (3D model), switch leak forecast (CLOSED)",FridgeConfig T_fridge_K = 10 mK; heat-switch DESIGN values,FSM-IL-17,switch CLOSED thermalization to MC,static UHV,dark,off,full stack at base,thermal_3d probe references,thermal_3d_transient (zero-source),dwell and re-approach,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_A_BASELINE,,canonical Mode A: cryogenic baseline / stabilization; machine ready-idle,COOLDOWN.BASE_APPROACH complete,operator selects processing (Mode B) after readiness,"T_probe, vibration amplitude + settling time, P_H2 residual",engineering-readiness ledger E01..E11 (Mode-A gate set),FSM-IL-17,base temperature; switch CLOSED,no active species (canonical Mode-A map),dark; sense shutter CLOSED (E08),off,full stack at base,thermal_3d_readiness.json baseline references,thermal_3d_transient (zero-source stability),SAFE_RECOVERY re-enters here after rethermalization,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_A_BASELINE.STABILIZE,MODE_A_BASELINE,post-event settling dwell (vibration settling time 3.18 s canonical),MODE_A_BASELINE entered or SAFE_RECOVERY hand-back,dwell >= max_settling_time_s and T_probe at base,"vibration amplitude, max_settling_time_s, T_probe",vibration chain metrics; E10,IL-08 feeds forward,as parent,as parent,dark,off,as parent,none,vibration_transfer,extend dwell,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_A_BASELINE.READY_IDLE,MODE_A_BASELINE,ready-idle: all baseline validations current,STABILIZE complete,transition request to MODE_B_PROCESS,as parent,as parent,as parent,as parent,as parent,dark,off,as parent,none,none,n/a,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS,,canonical Mode B: LCVD growth / processing (C-13 methane precursor only),READY_IDLE + all Mode-B gate preconditions (A1..A4),growth complete; sources off,"T_probe (3D), hotspot peak, switch leak (OPEN, gate A1), He absence (gate A4)",Mode-B gate set A1..A23 (canonical table),"IL-01, IL-02, IL-03, IL-09, IL-10, IL-13, IL-14, FSM-IL-15","switch OPEN (MC protected, A1); processing heat to upstream dump",C13_CH4 feed at the canonical working pressure; He structurally absent,laser port open; sense shutter CLOSED (A3),off (FSM-IL-15),full stack; MC isolated,thermal_3d_probe_timeseries/hotspots/energy; species accounting MODE_B rows,thermal_3d_transient + laser_source_3d + mode_sequence_3d(B),source-off then MODE_C_RECOVERY,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",c13_feed;cryobaffle;dilution;laser;process_port;sc_heat_switch;upstream_plant;vacuum_pumping,charcoal_regen;he_dose;ivc_valve;microwave;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS.B_PRECONFIG,MODE_B_PROCESS,configure hardware for growth before any source is enabled,MODE_B entered,hardware verified in Mode-B configuration,"switch state, port states","A1 (switch OPEN), A3 (shutter)",IL-03,switch OPEN,feed still off,"port open, laser off",off,as parent,none,state_machine_3d,revert to READY_IDLE,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;process_port;sc_heat_switch;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS.B_GROWTH_ACTIVE,MODE_B_PROCESS,laser + C-13 feed active: the growth window,B_PRECONFIG verified,pulse/process window complete,"T_probe, hotspot, energy closure, coverage exposure",Mode-B thermal/optical gates; energy_residual falsification bound,"IL-01/02/09/10/13/14, FSM-IL-15",as parent,C13_CH4 active (canonical species policy),laser ON via process port,off,as parent,mode_recovery_3d_timeline MODE_B rows,thermal_3d_transient(B) + laser_source_3d,immediate source-off to B_SOURCE_OFF,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",c13_feed;cryobaffle;dilution;laser;process_port;sc_heat_switch;upstream_plant;vacuum_pumping,charcoal_regen;he_dose;ivc_valve;microwave;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B_PROCESS.B_SOURCE_OFF,MODE_B_PROCESS,growth inputs stopped before the Mode-C hand-off,growth window complete,sources verified off,laser/feed states,state hand-off (coupled_mode_solver semantics),none additional,as parent,feed off,laser off,off,as parent,none,none,proceed to MODE_C,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;process_port;sc_heat_switch;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C_RECOVERY,,canonical Mode C: isolation / purge / cryotrapping / thermal recovery,B_SOURCE_OFF verified,readiness verified for Mode D,"theta residuals (purge model), T_probe recovery, recovery_time_s",Mode-C gate sets (purge B1..B5 + recovery C1..C4); COUPLED_MODE_RECOVERY_CHECK,IL-11 (this cycle satisfies it),switch CLOSED rethermalization from the Mode-B field,"purge (canonical purge_1_s=5.0, cryotrap rates); ports closed",dark; shutter CLOSED,off,as parent,mode_recovery_3d_timeline MODE_C rows; species_accounting MODE_C,thermal_3d_transient(C decay) + surface_coverage purge,extend recovery window,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C_RECOVERY.C_PURGE,MODE_C_RECOVERY,species purge / cryotrapping of residual precursor,MODE_C entered,residual C-13 coverage at the purge-forecast floor,theta_C13 (worst-case purge forecast),purge gate set B1..B5,feeds IL-05/IL-06 clearances,as parent,purge active (canonical parameters),dark,off,as parent,species_accounting_3d.csv MODE_C row,surface_coverage evolve,extend purge window,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C_RECOVERY.C_THERMAL_RECOVERY,MODE_C_RECOVERY,thermal recovery of the sample field toward the hand-off threshold,purge floor reached,T_probe <= mode_d_temp_threshold_K (50 mK),"T_probe timeseries, recovery_time_s",recovery gate set C1..C4,none additional,switch CLOSED,static,dark,off,as parent,mode_recovery_3d_timeline,thermal_3d_transient(C),extend window; SAFE_RECOVERY if recovery falsified,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C_RECOVERY.C_READINESS_VERIFY,MODE_C_RECOVERY,snapshot the Mode-D readiness conditions before hand-off,thermal recovery achieved,readiness snapshot recorded,"T_probe, theta residuals, vibration amplitude",IL-05..IL-08 condition snapshot; falsification report,"IL-05..IL-08, IL-11",as parent,static,dark,off,as parent,falsification_report_3d.json references,falsification_3d,return to C_THERMAL_RECOVERY,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE,,canonical Mode D: He-3/He-4 sensing / ODMR / Ramsey forecast,C_READINESS_VERIFY complete (IL-11 satisfied),sensing campaign complete or blocked,"T_probe (12 mK sensing bound IL-07), vibration amplitude (IL-08), coverage theta_He3/He4, MW load",Mode-D gate set D1..D26; nv_eligibility_3d forecast,"IL-01, IL-04, IL-05, IL-06, IL-07, IL-08, FSM-IL-15, FSM-IL-16",switch OPEN isolation (IL-04),He-3/He-4 dose at the canonical condition; C-13 structurally forbidden,sense shutter CLOSED; collection path per E11,ODMR/ESR drive (canonical line model),full stack; sample isolated,surface_coverage_3d_summary.csv; nv_eligibility_3d.json; mode_recovery_3d_timeline MODE_D(+HOLD) rows,mode_sequence_3d(D hold) + sources_3d(MW map) + surface_coverage_3d,D_POST then MODE_C re-recovery or MODE_A,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;he_dose;microwave;sc_heat_switch;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;ivc_valve;laser;process_port;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_PRECONFIG,MODE_D_SENSE,configure isolation and drive before dosing,MODE_D entered,"hardware verified (switch OPEN, shutter CLOSED)","switch state, shutter state","IL-04, gate A3 logic","IL-04, FSM-IL-16",switch OPEN,no dose yet,shutter CLOSED,off (armed),as parent,none,state_machine_3d,revert to C_READINESS_VERIFY,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;sc_heat_switch;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE,admit He-3/He-4 at the canonical dose condition,D_PRECONFIG verified + clearances (IL-05/06) held,canonical dose window complete,"coverage theta_He3/He4, P_dose",coverage window (canonical 1.0 s); species accounting MODE_D rows,IL-02/09/10/13 (inverse: no precursor/laser),as parent,He dose active,dark,off,as parent,surface_coverage_3d_summary.csv,surface_coverage_3d,"close dose, re-verify","guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;he_dose;sc_heat_switch;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;ivc_valve;laser;microwave;process_port;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_SENSING_HOLD,MODE_D_SENSE,microwave-driven sensing hold (Ramsey/ODMR forecast window),dose complete AND IL-07 (<=12 mK) AND IL-08 (vibration settled) held,hold window complete,"T_probe under MW load (tD_hold forecast), vibration amplitude",IL-07/IL-08; nv_eligibility_3d; Mode-D detection gates,"IL-07, IL-08, IL-01, FSM-IL-15",as parent,dose held,collection path active (E11),ODMR drive ON (REDUCED_ORDER NV-region map),as parent,nv_eligibility_3d.json; tD_hold timeline rows,mode_sequence_3d tD_hold + sources_3d,D_POST,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;he_dose;microwave;sc_heat_switch;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;ivc_valve;laser;process_port;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_SENSE.D_POST,MODE_D_SENSE,dose and drive off; sensing campaign closed,hold complete or entry refused,hand-off selected,coverage decay,species accounting,none additional,as parent,dose off,dark,off,as parent,species accounting references,surface_coverage evolve,to MODE_C_RECOVERY (re-recovery) or MODE_A_BASELINE,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;sc_heat_switch;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SAFE_RECOVERY,,"automatic safe-state on any BLOCKED-class trip: all sources off, ports closed, switch CLOSED to rethermalize",entered from any operational state on interlock trip,T_probe at base and trip condition cleared,"trip condition value, T_probe",falsification-engine condition taxonomy,all,switch CLOSED rethermalization,all feeds/doses closed,dark; shutter CLOSED,off,full stack,falsification_report_3d.json references,thermal_3d_transient (zero-source decay),hand back to MODE_A_BASELINE.STABILIZE,IMPOSSIBLE-class violation or unrecoverable trip latches FAULT_LATCHED (operator acknowledgment required),cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
FAULT_LATCHED,,latched fault on IMPOSSIBLE-class violation or unrecoverable trip; operator acknowledgment required,"IMPOSSIBLE-class interlock violation attempted, or SAFE_RECOVERY cannot clear",operator acknowledgment,latched cause id,interlock table (IMPOSSIBLE class),all,hold cold safe,all closed,dark,off,dilution held,fault record in trace,none,acknowledge -> OFFLINE.MAINTENANCE,terminal until acknowledged,cryobaffle;dilution;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SHUTDOWN,,controlled end-of-campaign warmup and vent prep,operator request from MODE_A_BASELINE,OFFLINE reached,stage temperatures (rising),warmup schedule: NOT_IMPLEMENTED (no canonical warmup rates),FSM-IL-18,controlled warmup (rates NOT_IMPLEMENTED),all feeds closed,dark,off,staged warmup,none,none,hold at safe intermediate temperature,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SHUTDOWN.CONTROLLED_WARMUP,SHUTDOWN,staged warmup with all species lines closed (FSM-IL-18),SHUTDOWN entered,ambient approached,stage temperatures,NOT_IMPLEMENTED warmup bounds,FSM-IL-18,warming,closed,dark,off,"plant off, drifting warm",none,none,hold,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;vacuum_pumping,c13_feed;charcoal_regen;dilution;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
SHUTDOWN.VENT_PREP,SHUTDOWN,vent preparation at ambient,ambient reached,vented; OFFLINE,chamber pressure,none (pre-operational class),IL-12,ambient,controlled backfill (parameters NOT_IMPLEMENTED),dark,off,off,none,none,n/a,IMPOSSIBLE-class violation or unrecoverable trip latches FAULT_LATCHED (operator acknowledgment required),cryobaffle;ivc_valve;vacuum_pumping,c13_feed;charcoal_regen;dilution;he_dose;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
