name,value,unit,tag,source,modes,uncertainty
t_growth,30.0,s,ASSUMED,Design growth pulse,A,+-factor3
t_purge_min,7200.0,s,ASSUMED,Min pumpout; outgassing dominated,B,+0/-50%
t_vib_settle,100.0,s,ASSUMED,Vib settling after shutter,C,+-factor3
mp_k_ref,2000.0,W/m/K,ASSUMED,Reduced diamond k(T) anchor (boundary-limited),B,factor 2x
mp_k_exponent,3.0,,ASSUMED,Reduced k(T) low-T power law exponent,B,+-0.5
mp_k_plateau,3000.0,W/m/K,ASSUMED,Reduced k(T) high-T cap,B,factor 2x
mp_alpha_K,50.0,W/m2/K4,ASSUMED,Kapitza-radiative backside sink coefficient,B,factor 3x
mp_alpha_abs,1000000.0,1/m,ASSUMED,Beer-Lambert absorption coefficient @1030nm,B,factor 3x
mp_absorbed_fraction,0.3,,ASSUMED,Absorbed fraction of incident pulse,B,range 0.1-0.5
mp_pulse_energy,1e-09,J,DESIGN,fs process-laser pulse energy target,B,factor 2x
mp_pulse_duration,2.5e-13,s,DESIGN,fs pulse duration,B,+-30%
mp_rep_rate,1000000.0,Hz,DESIGN,Pulse repetition rate,B,+-20%
mp_spot_radius,5e-06,m,DESIGN,1/e^2 beam radius at sample,B,+-20%
mp_thermal_radius,4e-05,m,ASSUMED,Near-field thermal domain radius (reduced-order),B,model domain
mp_thermal_depth,4e-05,m,ASSUMED,Near-field thermal domain depth (reduced-order),B,model domain
mp_front_velocity,0.0,m/s,ASSUMED,Moving-front velocity (static first pass; Stefan-ready),B,Stefan-ready
mp_gas_D_CH4,0.02,m2/s,ASSUMED,Effective axial diffusion CH4 (molecular-flow surrogate),BC,factor 3x
mp_gas_v_eff,0.05,m/s,ASSUMED,Effective species drift toward pump,BC,factor 3x
mp_cryobaffle_capture_CH4,0.9,,ASSUMED,Cryobaffle capture probability CH4,C,+-0.1
mp_pump_sink,50.0,1/s,ASSUMED,Pump removal rate near sink,C,factor 2x
mp_stick_CH4,0.5,,ASSUMED,Sticking coefficient CH4,BC,factor 2x
mp_Edes_CH4,0.16,eV,ASSUMED,Desorption energy CH4 (physisorption),BCD,+-0.05eV
mp_Edes_He4,0.012,eV,ASSUMED,Desorption energy He4,D,+-0.005eV
mp_mw_atten_total,26.0,dB,DESIGN,Total microwave line attenuation,D,+-3dB
mp_rad_epsilon_eff,0.05,,ASSUMED,Effective emissivity for radiation cascade,D,factor 2x
mp_rad_view_factor,0.1,,ASSUMED,View factor for radiation cascade,D,factor 2x
mp_vib_Q,20.0,,ASSUMED,Vibration settling quality factor,CD,factor 2x
